Country;USD;Gamers;Languages;Rank;Population
Australia;1293;12;English;14;25
Brazil;1452;76;Portuguese;13;211
Canada;2399;21;English, French;8;37
China;344;620;Chinese;1;1415
France;3366;33;French;7;65
Germany;4989;44;German;5;82
India;1105;264;English, Hindi, other 21 local languages;16;1354
Indonesia;1084;44;Indonesian;17;267
Italy;2168;26;Italian;10;59
Japan;17715;68;Japanese;3;127
Mexico;1577;56;Spanish;12;131
Netherlands;646;7;Dutch;20;17
Republic of Korea;5764;29;Korean;4;51
Russian Federation;1657;65;Russian;11;144
Spain;2202;25;Spanish;9;46
Taiwan;1231;15;Chinese;15;24
Thailand;667;18;Thai;19;69
Turkey;853;31;Turkish;18;82
United Kingdom;4731;37;English;6;67
United States of America;31535;179;English;2;327
