,texto,polaridad
0,"INCREÍBLE 😳
Transformaron un bus de dos pisos en una increíble casa con bañadera y todos los lujos.",Neutral
1,"Transformaron un bus de dos pisos en una increíble casa con bañadera, chimenea y todos los lujos Burbujas escolares: ver y escuchar, los nuevos problemas de la distancia entre alumnos y maestros dentro de las aulas",Neutral
2,"Los nuevos problemas de la distancia entre alumnos y maestros dentro de las aulas Los jóvenes 'invaden' Miami Beach por el receso de primavera, no respetan los protocolos y desatan incidentes: más de 100 detenidos",Neutral
3,Los jóvenes 'invaden' Miami Beach por el receso de primavera Un sintecho se coló 5 horas en la base donde se guarda el Air Force One,Negativo
4,Un sintecho se coló 5 horas en la base donde se guarda el Air Force One El Presidente se refirió a las agresiones que sufrió el sábado en Chubut. También volvió a hablar sobre la deuda externa y la negociación con el FMI. Más: http://clar.in/3rWeBys Mank: 5 curiosidades de la película de Netflix con más nominaciones al Oscar 2021,Negativo
5,Mank: 5 curiosidades de la película de Netflix con más nominaciones al Oscar 2021 Fuerte rumor: se supo quién sería la mujer que aparece junto a Martín Redrado en la foto que provocó la furia de Luciana Salazar.,Neutral
6,Trascendió quién sería la mujer que aparece en la polémica foto junto a Martín Redrado Detectan otros 55 casos de coronavirus en dos contingentes de egresados que volvieron de Cancún,Neutral
7,Detectan otros 55 casos de Covid-19 en dos contingentes de egresados que volvieron de Cancún De qué se trata la vida de los súper inteligentes.,Neutral
8,Qué es ser una superdotada como la niña de 9 años que tiene un IQ superior a Einstein Iker Casillas y Sara Carbonero y el patrimonio millonario que les queda tras la inesperada separación,Positivo
9,"Los millones que les quedan a Iker Casillas y Sara Carbonero tras la inesperada separación Misterio: el lago que puede cambiar de color entre el rosa, el blanco o el azul",Neutral
10,"Misterio: el lago que puede cambiar de color entre el rosa, el blanco o el azul Cómo anda el auto eléctrico de lujo que tiene dos motores",Neutral
11,Cómo anda el auto eléctrico de lujo que tiene dos motores Florencia Carignano apuntó a una disposición del ex presidente que facilitaba el trámite de los que huían del chavismo. Más: http://clar.in/3bK9dsq Se dispararon las apuestas sobre el nombre de la hija que esperan Meghan Markle y el príncipe Harry.,Neutral
12,"Se dispararon las apuestas sobre el nombre de la hija que esperan Meghan Markle y Harry VIDEO: Falcon y el Soldado del Invierno, de Marvel, tiene nuevo trailer",Neutral
13,"Falcon y el Soldado del Invierno, de Marvel, tiene nuevo trailer INCREÍBLE 😳",Neutral
14,"Transformaron un bus de dos pisos en una increíble casa con bañadera, chimenea y todos los lujos Burbujas escolares: ver y escuchar, los nuevos problemas de la distancia entre alumnos y maestros dentro de las aulas",Neutral
15,"Los nuevos problemas de la distancia entre alumnos y maestros dentro de las aulas Los jóvenes 'invaden' Miami Beach por el receso de primavera, no respetan los protocolos y desatan incidentes: más de 100 detenidos",Neutral
16,Los jóvenes 'invaden' Miami Beach por el receso de primavera Un sintecho se coló 5 horas en la base donde se guarda el Air Force One,Negativo
17,Un sintecho se coló 5 horas en la base donde se guarda el Air Force One El Presidente se refirió a las agresiones que sufrió el sábado en Chubut. También volvió a hablar sobre la deuda externa y la negociación con el FMI. Más: http://clar.in/3rWeBys Mank: 5 curiosidades de la película de Netflix con más nominaciones al Oscar 2021,Negativo
