,texto,polaridad
0,Reaccionan a 'deepfakes' de sus padres y parientes fallecidos,Neutral
1,"Esta gente vio a sus seres queridos moviéndose por primera vez en años gracias a la tecnología 'deepfake'. ¡Sus reacciones son tan conmovedoras! ❤️ 😭 El secuestro de Sarah Everard en Londres y la posterior aparición de su cadáver más de una semana después conmocionaron a los habitantes de Reino Unido y reavivaron un debate nacional sobre la inseguridad en las calles, sobre todo para las mujeres. Antiguos estudiantes de la Universidad Técnica de Delft (Países Bajos) desarrollaron una tecnología con drones equipados con sistemas de seguimiento para rastrear y matar polillas en invernaderos. August Landmesser pasó a la historia como el alemán que se negó a saludar a Adolf Hitler y se quedó de brazos cruzados: ese hombre tenía poderosos motivos para comportarse así. Moshir Al Hazmi, un joven de 16 años que vive en Saná, siente mucha nostalgia por cómo era Yemen antes de la guerra que asola ese país, así que crea maquetas de edificios destruidos durante ese conflicto y ya recibió varios premios por esa tarea Los traficantes recurren a métodos cada vez más ocurrentes para transportar estupefacientes por el mundo, pero no todos tienen éxito. Estos son los descubrimientos más interesantes. Desmienten una teoría científica vigente más de 300 años",Neutral
2,"https://sharqiyahbaja.com/ Ni las acusaciones de brutalidad policial, ni sus conocimientos de español ayudaron a esta mujer a evitar el arresto. Y todo por no querer ponerse la mascarilla en una oficina de banco. ❗️ La Comisión Europea admite errores en la estrategia de vacunación",Neutral
3,"Vea más documentales en nuestro canal https://www.youtube.com/DocumentalesdeRT Los sentidos de los animales funcionan de manera diferente a los de los humanos, así que la compañía HomeAdvisor comparó las maneras que tenemos de ver los objetos. La legisladora mexicana Cynthia López Castro puso un ejemplo curioso durante su argumentación para mostrarse en contra del proyecto para aprobar el consumo de marihuana en su país, normativa que salió adelante.",Neutral
4,March 12 at 5:45 PM ·,Neutral
5,El discurso antimarihuana de una diputada mexicana se vuelve viral,Neutral
6,❗️ La Policía de Bolivia captura a la expresidenta 'de facto' Jeanine Áñez,Neutral
7,https://www.facebook.com/cibo.oooo/,Neutral
8,March 12 at 5:30 PM ·,Neutral
9,"""Primero asesinan y luego roban"": la alcaldesa de Bogotá señala de nuevo a los venezolanos",Neutral
10,"❗️ La ONU presenta su informe sobre los pueblos indígenas 2017: “Bravo, un juez imparcial condenó a Lula”",Neutral
11,"2019: “Uy, el juez imparcial fue nombrado ministro por Bolsonaro, el rival de Lula”",Neutral
12,"2021: “Upa, anularon todas las sentencias del juez imparcial”",Neutral
13,"Un gran objeto de origen desconocido iluminó el cielo de Siberia el pasado 11 de marzo y los habitantes de esa zona de Rusia pensaron que era un cuerpo celeste, pero se trataba de una plataforma con baterías que pesaba 2,5 toneladas y arrojaron desde la Estación Espacial Internacional ese mismo día. La NASA estima que ese objeto, la basura más pesada procedente de la EEI, tardará entre dos y cuatro años en abandonar la órbita terrestre. Un conductor de Uber pidió a dos de sus tres pasajeras que usaran mascarilla dentro de su auto y le insultaron, tosieron en la cara y agredieron, mientras que una habría rociado el interior del vehículo con gas pimienta tras salir. La existencia de Rusia y el hecho de que muestre la capacidad de proteger sus intereses nacionales son la causa de las restricciones en materia económica políticamente motivadas, afirmó Vladímir Putin. ❗️ Austria denuncia un reparto desigual de vacunas en la UE",Neutral
14,March 9 at 7:21 PM ·,Neutral
15,"❗️ En EEUU, aumentó en un 28% el número de detenciones de migrantes en la frontera Científicos del Instituto Politécnico Nacional de México crearon y patentaron una mascarilla nasal que se puede mantener puesta al comer o beber. Se cumplen 10 años de uno de los terremotos más devastadores registrados en el mundo, un fenómeno que provocó un tsunami que mató a más de 18.000 personas y provocó la catástrofe en la planta Nuclear de Fukushima (Japón). Estas fotografías muestran diferentes lugares antes y después de la tragedia, así como su estado actual. El presidente de Rusia, Vladímir Putin, cifró el mercado mundial de vacunas contra el coronavirus en alrededor de 100.000 millones de dólares y destacó cómo se comportan los competidores de su país. ""No sigan ninguna decisión imbécil del presidente"".",Neutral
16,March 11 at 6:00 PM ·,Neutral
17,Lula critica el modo en que Bolsonaro gestiona la pandemia,Neutral
18,❗️ La Casa Blanca insta a no cruzar la frontera sur de EE.UU.,Neutral
19,❗️ El Parlamento Europeo levanta la inmunidad de Carles Puigdemont Se escuchan comentarios machistas en la retransmisión de los Premios Goya del cine español,Neutral
20,March 9 at 7:00 PM ·,Neutral
21,Se escuchan comentarios machistas en la retransmisión de los Premios Goya del cine español,Neutral
